692,sikhendu,139
693,nabiswa,139
694,sinyerere,140
695,makutano,140
696,kaplamai,140
697,motosiet,140
698,cherangany/suwerwa,140
699,chepsiro/kiptoror,140
700,sitatunga,140
701,moi's bridge,141
702,kapkures,141
703,ziwa,141
704,segero/barsombe,141
705,kipsomba,141
706,soy,141
707,kuinet/kapsuswa,141
708,ngenyilel,142
709,tapsagoi,142
710,kamagut,142
711,kiplombe,142
712,kapsaos,142
713,huruma,142
714,tembelio,143
715,sergoit,143
716,karuna/meibeki,143
717,moiben,143
718,kimumu,143
719,kapsoya,144
720,kaptagat,144
721,ainabkoi/olare,144
722,simat/kapseret,145
723,kipkenyo,145
724,ngeria,145
725,megun,145
726,langas,145
727,racecourse,146
728,cheptiret/kipchamo,146
729,tulwet/chuiyat,146
730,tarakwa,146
731,kapyego,147
732,sambirir,147
733,endo,147
734,embobut / embulot,147
735,lelan,148
736,sengwer,148
737,cherang'any/chebororwa,148
738,moiben/kuserwo,148
739,kapsowar,148
740,arror,148
741,emsoo,149
742,kamariny,149
743,kapchemutwa,149
744,tambach,149
745,kaptarakwa,150
746,chepkorio,150
747,soy north,150
748,soy south,150
749,kabiemit,150
750,metkei,150
751,songhor/soba,151
752,tindiret,151
753,chemelil/chemase,151
754,kapsimotwo,151
755,kabwareng,152
756,terik,152
757,kemeloi-maraba,152
758,kobujoi,152
759,kaptumo-kaboi,152
760,koyo-ndurio,152
761,nandi hills,153
762,chepkunyuk,153
763,ol'lessos,153
764,kapchorua,153
765,chemundu/kapng'etuny,154
766,kosirai,154
767,lelmokwo/ngechek,154
768,kaptel/kamoiywo,154
769,kiptuya,154
770,chepkumia,155
771,kapkangani,155
772,kapsabet,155
773,kilibwoni,155
774,chepterwai,156
775,kipkaren,156
776,kurgung/surungai,156
777,kabiyet,156
778,ndalat,156
779,kabisaga,156
780,sangalo/kebulonik,156
781,tirioko,157
782,kolowa,157
783,ribkwo,157
784,silale,157
785,loiyamorock,157
786,tangulbei/korossi,157
787,churo/amaya,157
788,barwessa,158
789,kabartonjo,158
790,saimo/kipsaraman,158
791,saimo/soi,158
792,bartabwa,158
793,kabarnet,159
794,sacho,159
795,tenges,159
796,ewalel chapchap,159
797,kapropita,159
798,marigat,160
799,ilchamus,160
800,mochongoi,160
801,mukutani,160
802,mogotio,161
803,emining,161
804,kisanana,161
805,lembus,162
806,lembus kwen,162
807,ravine,162
808,mumberes/maji mazuri,162
809,lembus/perkerra,162
810,koibatek,162
811,olmoran,163
812,rumuruti township,163
813,kinamba,163
814,marmanet,163
815,igwamiti,163
816,salama,163
817,ngobit,164
818,tigithi,164
819,thingithu,164
820,nanyuki,164
821,umande,164
822,sosian,165
823,segera,165
824,mukogondo west,165
